age,region,urban_rural,education_level,employment_status,monthly_income_tzs,family_size,distance_to_hospital_km,distance_to_school_km,access_to_clean_water,electricity_access,housing_type,years_of_education,number_of_rooms,health_insurance,health_score,education_score,housing_score,quality_of_life_score
54,Mwanza,Rural,Primary,Self-employed,1464359,2,25.1,5.85,1,1,Brick/Iron Sheet,14,4,0,98.12,42.0,100.0,79.04
41,Dar es Salaam,Rural,College,Unemployed,1262586,9,5.8,1.79,1,0,Brick/Iron Sheet,7,5,0,100.0,89.0,100.0,96.15
46,Kilimanjaro,Rural,Secondary,Unemployed,1703969,4,7.96,4.92,0,0,Concrete/Modern,9,1,1,100.0,60.56,100.0,86.2
66,Zanzibar,Rural,Primary,Unemployed,623472,2,15.91,0.82,1,1,Brick/Iron Sheet,17,3,0,90.95,27.33,99.5,71.25
63,Arusha,Rural,Primary,Self-employed,506884,4,8.75,3.17,1,0,Brick/Iron Sheet,3,4,0,71.59,29.25,99.37,65.11
48,Kilimanjaro,Urban,Primary,Self-employed,359021,6,32.24,3.51,1,0,Brick/Iron Sheet,14,5,0,83.41,44.78,91.64,72.36
52,Tanga,Rural,Secondary,Student,247032,7,10.8,4.4,1,0,Brick/Iron Sheet,10,1,0,97.52,54.18,65.88,72.86
50,Kilimanjaro,Urban,University,Private Sector,2847959,3,7.4,3.6,1,0,Concrete/Modern,2,5,1,100.0,100.0,100.0,100.0
69,Morogoro,Rural,Secondary,Unemployed,557820,3,0.24,3.42,1,0,Brick/Iron Sheet,14,3,0,74.48,64.06,98.86,78.15
38,Morogoro,Rural,College,Private Sector,989171,8,5.34,2.02,0,0,Mud/Thatch,2,4,0,72.34,70.81,53.99,66.3
49,Dodoma,Rural,Secondary,Government,1462516,5,3.56,0.37,0,1,Mud/Thatch,14,4,1,100.0,79.71,77.95,86.28
40,Mtwara,Urban,College,Private Sector,2475100,4,13.79,0.47,1,0,Concrete/Modern,5,5,0,100.0,100.0,100.0,100.0
50,Mtwara,Rural,Secondary,Unemployed,1133237,7,2.34,2.84,0,1,Brick/Iron Sheet,0,1,0,88.76,64.49,100.0,83.64
20,Arusha,Rural,Primary,Government,1818562,7,2.3,2.2,1,0,Concrete/Modern,13,2,0,100.0,55.84,100.0,84.54
35,Tanga,Urban,Secondary,Private Sector,2356356,9,2.1,3.63,1,0,Mud/Thatch,15,4,1,100.0,83.4,63.07,83.11
42,Mbeya,Urban,College,Unemployed,1429785,9,1.34,1.82,1,0,Brick/Iron Sheet,0,2,0,100.0,100.0,95.64,98.69
59,Morogoro,Urban,No Education,Unemployed,205072,5,3.73,5.82,1,1,Mud/Thatch,16,4,1,86.32,0.0,69.92,51.19
48,Arusha,Urban,College,Private Sector,2861642,8,21.71,9.97,1,1,Brick/Iron Sheet,7,1,1,100.0,97.21,100.0,99.02
20,Mbeya,Rural,Primary,Unemployed,189360,1,14.91,1.78,0,1,Brick/Iron Sheet,17,1,0,69.03,41.61,84.43,64.05
57,Mtwara,Rural,Secondary,Government,2259439,9,13.29,1.07,0,0,Mud/Thatch,15,4,0,92.56,69.0,54.93,73.03
63,Dodoma,Rural,College,Self-employed,807062,8,15.96,0.62,1,1,Brick/Iron Sheet,5,5,0,74.59,99.72,96.28,89.89
41,Kilimanjaro,Urban,Primary,Government,792353,6,3.14,4.79,1,0,Brick/Iron Sheet,9,1,0,100.0,29.3,79.94,69.24
67,Morogoro,Urban,Primary,Private Sector,787235,3,21.84,2.93,1,0,Brick/Iron Sheet,9,1,1,62.67,40.99,81.53,60.74
49,Arusha,Rural,Primary,Unemployed,870644,3,1.48,1.04,1,1,Brick/Iron Sheet,4,3,0,100.0,43.88,100.0,80.36
64,Dar es Salaam,Urban,College,Unemployed,2858566,8,4.1,5.29,1,0,Brick/Iron Sheet,11,1,0,100.0,100.0,100.0,100.0
39,Mbeya,Rural,No Education,Private Sector,2428033,5,8.84,0.8,1,1,Mud/Thatch,16,3,1,100.0,17.74,100.0,71.21
40,Kilimanjaro,Rural,College,Private Sector,1255933,7,1.09,4.04,1,0,Brick/Iron Sheet,13,1,0,100.0,89.13,89.18,92.95
19,Morogoro,Rural,Primary,Private Sector,1590309,5,13.1,3.74,0,1,Brick/Iron Sheet,13,1,0,100.0,33.19,100.0,76.62
44,Mtwara,Rural,University,Self-employed,307440,8,4.9,6.63,1,1,Brick/Iron Sheet,2,5,0,74.83,96.49,95.7,88.67
59,Tanga,Urban,University,Self-employed,2751110,4,15.34,0.28,0,1,Concrete/Modern,11,5,0,99.52,100.0,100.0,99.83
19,Mbeya,Urban,Primary,Unemployed,2965599,2,6.79,10.94,1,0,Brick/Iron Sheet,17,1,1,100.0,40.96,100.0,79.34
43,Mtwara,Urban,Secondary,Private Sector,1346735,3,2.0,6.07,0,0,Brick/Iron Sheet,11,4,0,100.0,58.09,89.4,82.15
34,Morogoro,Rural,Primary,Unemployed,1982930,8,13.27,1.22,1,1,Concrete/Modern,1,4,0,100.0,50.4,100.0,82.64
57,Mbeya,Urban,Secondary,Self-employed,294152,7,2.91,1.01,0,0,Concrete/Modern,1,1,0,70.63,62.2,100.0,76.49
50,Kilimanjaro,Rural,No Education,Private Sector,2028356,2,6.75,2.83,0,1,Brick/Iron Sheet,16,4,0,96.3,23.32,100.0,71.87
26,Morogoro,Rural,No Education,Government,703623,6,0.79,8.51,1,1,Concrete/Modern,9,1,0,96.03,14.73,100.0,68.77
60,Zanzibar,Rural,No Education,Self-employed,912744,9,9.62,9.26,1,0,Brick/Iron Sheet,17,5,0,86.05,2.23,90.65,58.09
65,Arusha,Urban,Primary,Self-employed,1075112,4,10.96,3.67,0,1,Brick/Iron Sheet,0,2,1,96.92,35.54,100.0,76.36
56,Kilimanjaro,Urban,Primary,Private Sector,583178,9,4.76,9.86,0,1,Brick/Iron Sheet,3,3,1,77.9,30.68,90.04,65.01
46,Mbeya,Rural,Secondary,Private Sector,1319925,2,30.88,0.03,1,0,Brick/Iron Sheet,3,4,0,91.72,80.21,100.0,90.18
59,Tanga,Rural,University,Self-employed,655839,2,20.73,0.18,1,0,Mud/Thatch,1,4,0,93.5,96.04,63.99,85.54
43,Mtwara,Rural,Primary,Government,714101,9,12.31,12.14,0,1,Concrete/Modern,11,5,0,69.55,29.55,100.0,64.68
52,Dar es Salaam,Urban,Secondary,Government,549813,7,12.51,7.47,1,0,Concrete/Modern,9,4,0,89.71,42.41,100.0,76.24
67,Mtwara,Rural,Primary,Self-employed,1158213,7,2.91,3.0,0,1,Brick/Iron Sheet,12,1,0,90.61,36.55,98.6,74.09
42,Mbeya,Rural,College,Self-employed,1978266,1,10.69,7.0,1,0,Brick/Iron Sheet,14,1,0,100.0,77.88,100.0,92.26
41,Mtwara,Urban,College,Self-employed,1053197,6,2.21,15.58,0,1,Mud/Thatch,2,2,0,100.0,70.48,69.25,80.44
30,Arusha,Rural,College,Private Sector,1027328,7,1.55,7.39,1,0,Brick/Iron Sheet,12,2,0,100.0,75.39,74.69,83.79
24,Morogoro,Urban,University,Unemployed,1802417,6,75.39,9.24,0,1,Brick/Iron Sheet,7,2,1,83.79,100.0,100.0,94.33
53,Dar es Salaam,Rural,No Education,Private Sector,651238,6,9.74,7.15,1,1,Brick/Iron Sheet,6,1,0,79.22,7.31,97.54,59.55
62,Mwanza,Rural,College,Private Sector,516704,2,5.64,0.92,0,0,Concrete/Modern,7,2,1,71.35,84.51,100.0,84.55
37,Mbeya,Urban,Secondary,Self-employed,1800734,6,3.4,8.97,0,0,Mud/Thatch,17,2,0,100.0,70.96,60.44,77.97
18,Dodoma,Rural,Primary,Private Sector,2181280,4,9.26,1.09,0,1,Mud/Thatch,8,1,0,100.0,68.2,69.32,79.66
25,Mwanza,Rural,University,Government,100215,9,0.51,11.16,1,1,Brick/Iron Sheet,5,5,1,100.0,100.0,89.06,96.72
63,Mtwara,Rural,No Education,Unemployed,467747,1,0.99,3.07,1,0,Brick/Iron Sheet,3,4,0,100.0,0.0,100.0,65.0
33,Mbeya,Urban,Secondary,Self-employed,2995107,8,0.33,5.65,1,1,Concrete/Modern,14,3,1,100.0,90.75,100.0,96.76
31,Zanzibar,Urban,Primary,Self-employed,955121,5,6.91,3.44,1,0,Brick/Iron Sheet,4,1,0,100.0,33.16,79.81,70.55
29,Dodoma,Urban,Primary,Government,1117375,1,9.18,0.49,1,0,Brick/Iron Sheet,4,1,0,100.0,48.55,98.01,81.39
68,Dar es Salaam,Rural,Secondary,Student,372544,4,0.65,1.72,1,1,Brick/Iron Sheet,6,3,0,86.98,72.71,88.01,82.29
40,Tanga,Urban,Secondary,Self-employed,634633,1,12.77,20.59,0,1,Mud/Thatch,8,3,0,62.82,35.17,100.0,64.3
32,Zanzibar,Rural,Primary,Private Sector,1182472,6,2.62,16.18,1,0,Brick/Iron Sheet,6,2,1,100.0,13.44,80.13,63.74
45,Mwanza,Rural,Primary,Self-employed,1627222,2,11.56,1.93,0,1,Mud/Thatch,8,3,1,100.0,59.46,88.32,82.31
51,Morogoro,Urban,College,Self-employed,1963907,5,40.12,27.99,1,0,Brick/Iron Sheet,9,4,1,100.0,53.26,100.0,83.64
19,Arusha,Rural,No Education,Self-employed,914661,7,11.75,9.34,1,1,Brick/Iron Sheet,3,4,0,91.66,0.0,100.0,62.08
49,Tanga,Urban,Primary,Self-employed,2707421,2,21.47,4.72,1,1,Mud/Thatch,5,4,0,100.0,60.39,100.0,86.14
40,Zanzibar,Rural,College,Self-employed,1416303,6,29.6,0.2,1,1,Mud/Thatch,13,4,0,78.7,97.53,77.15,84.83
39,Morogoro,Rural,College,Private Sector,1022401,6,6.67,11.59,1,1,Brick/Iron Sheet,8,4,0,81.84,90.12,100.0,90.18
68,Morogoro,Urban,Primary,Unemployed,613622,5,12.12,4.08,1,0,Brick/Iron Sheet,0,2,1,100.0,38.29,78.06,71.82
42,Mbeya,Urban,Secondary,Government,1220113,5,19.1,10.14,0,1,Concrete/Modern,16,1,0,82.21,54.91,100.0,77.99
39,Zanzibar,Rural,College,Unemployed,1913353,3,4.41,8.99,0,1,Mud/Thatch,12,3,0,100.0,85.96,71.24,86.46
39,Dar es Salaam,Rural,College,Self-employed,497783,2,3.03,8.95,1,0,Mud/Thatch,6,1,0,100.0,76.25,60.63,79.88
66,Mtwara,Rural,Secondary,Self-employed,2851088,7,29.3,5.99,1,1,Mud/Thatch,8,3,1,100.0,84.11,95.87,93.2
69,Dodoma,Rural,Primary,Private Sector,999084,1,12.96,1.72,0,0,Brick/Iron Sheet,10,2,1,90.13,21.88,100.0,69.21
59,Dodoma,Urban,Primary,Unemployed,570455,6,2.48,2.05,0,1,Brick/Iron Sheet,2,2,0,75.04,29.86,84.11,61.95
23,Mwanza,Urban,Primary,Self-employed,2865841,6,5.96,1.84,0,0,Concrete/Modern,11,5,0,100.0,57.76,100.0,85.22
32,Mwanza,Urban,Secondary,Student,332117,3,15.92,0.1,0,0,Brick/Iron Sheet,2,5,0,86.82,70.29,84.44,80.32
60,Dodoma,Rural,No Education,Self-employed,1921644,2,7.92,4.37,1,0,Mud/Thatch,14,2,0,100.0,19.9,84.91,67.44
54,Dar es Salaam,Rural,Secondary,Self-employed,2758492,2,10.5,6.0,1,1,Brick/Iron Sheet,9,2,1,100.0,99.29,100.0,99.75
50,Arusha,Rural,Primary,Government,550985,9,14.01,9.62,1,1,Concrete/Modern,0,3,0,87.21,20.55,100.0,67.72
25,Kilimanjaro,Urban,Primary,Unemployed,2243184,5,9.73,0.76,1,0,Brick/Iron Sheet,13,2,0,100.0,46.15,100.0,81.15
61,Mtwara,Rural,College,Self-employed,604910,7,7.77,3.93,1,0,Brick/Iron Sheet,5,1,0,80.91,79.95,82.33,81.0
61,Arusha,Rural,Primary,Self-employed,723090,5,13.85,0.04,0,0,Concrete/Modern,1,3,0,79.72,23.76,100.0,66.22
22,Mbeya,Rural,No Education,Self-employed,2129341,7,13.0,0.5,1,1,Brick/Iron Sheet,7,2,1,100.0,25.52,100.0,73.93
56,Kilimanjaro,Rural,College,Self-employed,2626915,4,9.94,0.28,1,1,Brick/Iron Sheet,0,3,0,100.0,100.0,100.0,100.0
21,Kilimanjaro,Urban,No Education,Unemployed,2502114,8,4.46,6.46,0,0,Brick/Iron Sheet,3,3,0,100.0,21.66,100.0,72.58
23,Zanzibar,Urban,Secondary,Self-employed,2035430,7,5.21,0.42,1,0,Brick/Iron Sheet,3,4,1,100.0,87.41,100.0,95.59
62,Dar es Salaam,Rural,Secondary,Unemployed,1869617,5,35.21,6.3,0,1,Mud/Thatch,4,5,0,100.0,77.1,83.59,87.06
49,Dar es Salaam,Rural,Primary,Private Sector,2538761,6,1.19,1.44,0,0,Brick/Iron Sheet,8,3,1,100.0,53.26,100.0,83.64
69,Kilimanjaro,Urban,College,Self-employed,2948039,5,3.13,10.51,0,0,Mud/Thatch,12,3,0,100.0,96.63,96.21,97.69
47,Zanzibar,Rural,Secondary,Self-employed,737509,7,6.78,8.39,1,0,Concrete/Modern,17,4,0,100.0,48.45,100.0,81.96
64,Mtwara,Rural,Primary,Government,2496629,2,18.12,15.83,0,1,Concrete/Modern,16,2,0,100.0,35.56,100.0,77.45
52,Kilimanjaro,Rural,No Education,Private Sector,1275033,5,1.79,10.76,1,1,Brick/Iron Sheet,0,3,0,100.0,1.74,100.0,65.61
57,Tanga,Rural,Primary,Unemployed,1427296,3,3.24,13.54,0,1,Mud/Thatch,14,4,0,95.92,28.36,100.0,73.5
69,Mwanza,Rural,University,Government,980432,9,0.68,9.79,1,0,Mud/Thatch,1,1,0,88.15,88.76,50.76,77.15
33,Mwanza,Rural,Primary,Self-employed,566995,6,12.24,5.91,1,1,Concrete/Modern,15,4,0,89.83,26.83,100.0,70.83
30,Arusha,Rural,Secondary,Unemployed,2753041,3,2.72,0.93,1,0,Brick/Iron Sheet,4,5,0,100.0,77.93,100.0,92.27
67,Mbeya,Rural,Secondary,Private Sector,2133436,7,4.92,1.59,1,1,Brick/Iron Sheet,4,5,0,100.0,82.32,100.0,93.81
59,Mwanza,Rural,Secondary,Self-employed,1462836,4,5.86,1.2,0,1,Brick/Iron Sheet,1,2,1,100.0,82.59,100.0,93.91
47,Morogoro,Rural,No Education,Self-employed,2166905,3,22.19,4.63,0,1,Brick/Iron Sheet,6,2,0,100.0,5.83,100.0,67.04
36,Arusha,Urban,Primary,Self-employed,1659048,8,5.3,3.5,1,0,Brick/Iron Sheet,2,5,0,100.0,37.36,98.03,77.48
34,Mwanza,Rural,Secondary,Self-employed,728474,4,1.57,10.09,0,0,Brick/Iron Sheet,16,5,1,100.0,68.7,88.62,85.63
36,Mbeya,Rural,Primary,Self-employed,789995,1,7.43,15.25,0,1,Brick/Iron Sheet,2,3,0,75.47,18.48,100.0,62.88
45,Dar es Salaam,Rural,Primary,Government,1729618,6,32.96,2.59,1,1,Concrete/Modern,12,5,0,100.0,49.61,100.0,82.37
43,Dar es Salaam,Rural,No Education,Self-employed,2290002,1,9.36,3.53,1,0,Mud/Thatch,6,2,0,100.0,32.32,100.0,76.31
54,Mtwara,Rural,Primary,Government,1889055,5,40.98,17.79,1,1,Mud/Thatch,2,5,0,100.0,29.76,90.97,72.71
43,Kilimanjaro,Rural,College,Private Sector,1711735,7,18.4,1.62,1,1,Brick/Iron Sheet,14,2,0,100.0,100.0,100.0,100.0
40,Tanga,Rural,No Education,Government,1342522,6,0.37,7.86,1,1,Mud/Thatch,17,1,1,100.0,0.0,75.34,57.6
26,Dar es Salaam,Urban,Primary,Private Sector,2668101,2,10.74,1.28,1,1,Concrete/Modern,9,5,1,100.0,62.27,100.0,86.79
29,Zanzibar,Rural,Primary,Private Sector,967392,4,3.38,5.72,1,0,Brick/Iron Sheet,6,2,0,100.0,30.98,81.22,70.21
18,Mwanza,Rural,Secondary,Self-employed,1066325,2,8.2,1.46,0,0,Concrete/Modern,8,4,0,77.44,75.87,100.0,83.66
18,Zanzibar,Rural,Secondary,Self-employed,1397776,1,3.28,10.76,1,0,Brick/Iron Sheet,4,3,0,100.0,68.06,100.0,88.82
64,Mbeya,Urban,Primary,Self-employed,825527,3,4.29,4.12,1,1,Mud/Thatch,7,2,1,100.0,37.32,70.9,69.33
51,Dar es Salaam,Urban,Secondary,Government,2141215,3,25.66,1.03,1,0,Brick/Iron Sheet,13,5,0,100.0,82.93,100.0,94.02
49,Tanga,Rural,Secondary,Government,1603174,7,2.31,1.27,1,1,Concrete/Modern,3,5,0,100.0,64.01,100.0,87.4
65,Mbeya,Urban,College,Self-employed,2680562,1,20.72,3.4,1,0,Mud/Thatch,13,1,0,100.0,83.81,94.32,92.63
42,Morogoro,Urban,College,Unemployed,1907317,9,0.31,16.3,1,0,Brick/Iron Sheet,11,4,0,100.0,83.37,100.0,94.18
57,Morogoro,Urban,Primary,Self-employed,1583702,6,0.95,7.34,0,1,Concrete/Modern,1,2,0,86.79,19.87,100.0,67.33
62,Zanzibar,Urban,Primary,Private Sector,1353179,4,19.29,3.35,0,0,Brick/Iron Sheet,12,4,0,86.61,41.13,92.16,72.36
18,Kilimanjaro,Urban,No Education,Self-employed,1829122,3,9.96,2.06,1,0,Brick/Iron Sheet,0,1,1,100.0,13.81,88.06,66.25
33,Arusha,Rural,Primary,Private Sector,834172,3,13.75,3.98,1,1,Brick/Iron Sheet,6,3,0,100.0,47.22,100.0,81.53
56,Kilimanjaro,Rural,University,Student,209779,2,2.35,6.9,0,0,Concrete/Modern,8,4,0,65.04,86.47,100.0,83.03
22,Mtwara,Rural,Primary,Unemployed,1167133,2,7.7,7.66,1,0,Mud/Thatch,16,1,1,100.0,44.6,72.41,72.33
39,Kilimanjaro,Rural,Primary,Self-employed,552082,5,13.36,1.96,0,0,Concrete/Modern,12,2,0,68.43,30.95,100.0,64.78
46,Mtwara,Rural,Secondary,Self-employed,434248,9,9.87,6.39,1,1,Brick/Iron Sheet,9,3,0,78.14,68.93,94.37,79.79
20,Mtwara,Urban,Secondary,Self-employed,1626369,2,6.38,5.36,1,1,Concrete/Modern,15,5,0,100.0,61.24,100.0,86.43
29,Tanga,Urban,No Education,Unemployed,761440,2,32.13,15.98,1,1,Mud/Thatch,5,1,0,83.13,0.0,62.96,47.98
43,Dar es Salaam,Rural,Primary,Unemployed,1293502,6,11.27,13.37,0,0,Mud/Thatch,15,5,0,100.0,22.65,59.63,60.82
33,Tanga,Urban,Primary,Government,2057021,2,23.83,7.79,1,0,Concrete/Modern,10,3,1,100.0,27.68,100.0,74.69
68,Mtwara,Rural,Secondary,Self-employed,2920207,4,13.08,6.43,1,1,Concrete/Modern,2,1,1,100.0,84.08,100.0,94.43
54,Mbeya,Rural,No Education,Self-employed,2762521,6,13.3,1.6,1,1,Brick/Iron Sheet,8,1,0,100.0,26.92,100.0,74.42
39,Morogoro,Rural,Primary,Government,1021872,5,0.83,9.35,1,0,Brick/Iron Sheet,14,3,0,100.0,31.03,96.27,74.74
46,Mtwara,Urban,Secondary,Private Sector,854981,1,4.45,2.79,1,0,Concrete/Modern,12,2,0,90.0,55.85,100.0,81.05
31,Tanga,Urban,Primary,Unemployed,481325,6,19.55,1.59,1,1,Mud/Thatch,9,1,0,74.39,40.83,67.83,60.68
45,Mbeya,Rural,Secondary,Private Sector,913526,1,2.65,2.42,0,1,Brick/Iron Sheet,12,3,0,90.68,77.41,100.0,88.83
22,Tanga,Urban,Primary,Self-employed,1063544,3,1.23,9.04,1,0,Concrete/Modern,16,4,0,100.0,25.43,100.0,73.9
64,Kilimanjaro,Rural,Primary,Private Sector,2526062,5,3.95,0.8,1,0,Brick/Iron Sheet,6,5,0,100.0,57.88,100.0,85.26
66,Mwanza,Rural,University,Private Sector,1936309,5,2.49,3.05,1,0,Brick/Iron Sheet,5,1,0,100.0,100.0,88.91,96.67
47,Zanzibar,Rural,Secondary,Private Sector,783970,6,25.94,3.39,0,0,Concrete/Modern,12,4,0,77.23,59.69,100.0,77.92
63,Arusha,Urban,No Education,Self-employed,705751,8,20.25,0.19,0,1,Brick/Iron Sheet,16,1,0,72.46,1.04,93.2,53.69
69,Tanga,Rural,Secondary,Government,1838614,5,6.93,1.09,0,1,Mud/Thatch,14,2,0,95.63,100.0,70.78,89.7
22,Arusha,Rural,Secondary,Unemployed,573656,1,0.63,8.76,1,1,Concrete/Modern,3,3,1,100.0,67.42,100.0,88.6
29,Dodoma,Rural,Secondary,Unemployed,1058379,5,12.54,8.88,1,0,Brick/Iron Sheet,14,1,0,100.0,70.54,92.61,87.47
33,Tanga,Urban,Primary,Self-employed,1174657,3,9.77,1.73,1,0,Concrete/Modern,13,3,1,100.0,48.87,100.0,82.1
43,Mwanza,Rural,University,Unemployed,1172930,4,35.25,10.39,1,0,Concrete/Modern,10,1,1,100.0,85.83,100.0,95.04
43,Arusha,Urban,Primary,Self-employed,717585,8,8.19,7.39,0,0,Mud/Thatch,3,2,1,74.75,13.82,48.02,45.4
65,Mtwara,Rural,Primary,Government,1794548,7,4.1,2.71,1,1,Mud/Thatch,2,2,0,100.0,45.49,73.66,73.02
38,Tanga,Urban,Primary,Government,2232677,5,7.32,6.9,1,0,Brick/Iron Sheet,1,4,1,100.0,45.78,100.0,81.02
56,Dar es Salaam,Rural,No Education,Self-employed,106464,2,38.76,16.26,0,0,Brick/Iron Sheet,9,2,0,32.65,0.0,83.48,36.47
53,Zanzibar,Rural,College,Self-employed,1689426,6,11.92,3.07,1,0,Brick/Iron Sheet,12,3,0,100.0,74.41,100.0,91.04
50,Mwanza,Rural,No Education,Self-employed,2572724,6,11.15,1.36,1,1,Brick/Iron Sheet,17,2,0,100.0,34.66,100.0,77.13
47,Arusha,Urban,No Education,Self-employed,1261140,6,2.75,14.22,1,1,Brick/Iron Sheet,15,1,0,88.6,0.0,100.0,61.01
54,Mwanza,Urban,College,Unemployed,1518767,9,13.61,4.63,0,1,Mud/Thatch,10,2,0,78.66,89.87,69.65,79.88
40,Mbeya,Rural,Primary,Government,2754074,8,13.87,0.56,1,0,Brick/Iron Sheet,9,3,0,100.0,70.66,100.0,89.73
27,Zanzibar,Rural,No Education,Self-employed,1935068,8,3.82,4.25,1,1,Brick/Iron Sheet,8,1,0,100.0,18.37,98.86,71.09
22,Mtwara,Urban,No Education,Self-employed,1944277,1,6.61,3.47,1,0,Brick/Iron Sheet,11,4,0,100.0,22.85,100.0,73.0
53,Tanga,Rural,No Education,Unemployed,2391367,5,3.49,9.68,0,0,Mud/Thatch,0,4,0,99.34,12.18,88.14,65.47
51,Tanga,Rural,Primary,Government,1695929,7,2.99,3.78,0,1,Brick/Iron Sheet,17,4,0,100.0,38.21,100.0,78.38
69,Tanga,Rural,Secondary,Private Sector,365039,6,0.26,1.47,1,0,Mud/Thatch,13,1,1,92.16,67.27,60.72,74.02
48,Zanzibar,Rural,Primary,Government,1491579,5,3.36,5.63,1,1,Brick/Iron Sheet,0,4,0,100.0,40.97,100.0,79.34
27,Dar es Salaam,Rural,No Education,Private Sector,2176259,8,8.07,3.91,1,0,Brick/Iron Sheet,16,2,0,100.0,4.01,100.0,66.4
36,Dodoma,Urban,Secondary,Self-employed,1067241,3,0.02,1.33,0,1,Mud/Thatch,10,1,1,100.0,60.45,63.42,75.18
49,Morogoro,Rural,Secondary,Self-employed,2301279,6,3.33,4.26,0,1,Brick/Iron Sheet,14,1,0,100.0,84.69,100.0,94.64
18,Kilimanjaro,Rural,Primary,Private Sector,196426,5,21.32,8.62,1,1,Brick/Iron Sheet,3,1,0,75.83,41.17,71.54,62.41
22,Arusha,Urban,Secondary,Self-employed,1340952,8,9.01,0.14,1,1,Mud/Thatch,14,5,1,100.0,69.58,77.74,82.68
62,Dar es Salaam,Rural,Primary,Private Sector,1160538,4,9.36,4.98,1,1,Mud/Thatch,13,3,1,100.0,31.48,65.02,65.52
21,Mtwara,Rural,Primary,Unemployed,2230454,8,5.16,2.15,1,0,Concrete/Modern,0,5,0,100.0,52.26,100.0,83.29
33,Arusha,Rural,Secondary,Unemployed,1496102,2,11.28,1.73,1,1,Brick/Iron Sheet,8,5,0,87.94,66.85,100.0,84.18
41,Tanga,Rural,Primary,Self-employed,104011,9,2.11,2.49,0,1,Concrete/Modern,6,5,1,78.39,51.13,100.0,75.33
33,Mwanza,Rural,College,Private Sector,2064724,9,17.08,2.09,0,0,Brick/Iron Sheet,10,3,0,89.3,90.58,91.42,90.38
19,Mtwara,Rural,No Education,Private Sector,119782,6,1.24,8.93,1,1,Brick/Iron Sheet,1,5,0,85.47,0.0,96.56,58.88
66,Arusha,Urban,Secondary,Unemployed,2188097,4,10.67,1.61,0,1,Brick/Iron Sheet,1,4,0,78.48,78.03,100.0,84.78
45,Tanga,Rural,No Education,Self-employed,532941,4,4.17,6.61,0,1,Brick/Iron Sheet,5,1,0,87.42,7.9,85.61,59.05
49,Arusha,Urban,Secondary,Unemployed,1682060,6,13.76,0.49,1,0,Brick/Iron Sheet,13,1,1,100.0,93.38,88.01,94.09
44,Mwanza,Rural,Secondary,Unemployed,2808685,5,7.98,15.12,1,1,Brick/Iron Sheet,2,2,1,100.0,64.78,100.0,87.67
37,Tanga,Rural,College,Self-employed,2719981,6,6.02,4.87,0,0,Brick/Iron Sheet,6,4,1,100.0,100.0,100.0,100.0
41,Dodoma,Rural,No Education,Unemployed,703151,7,1.86,6.13,0,0,Mud/Thatch,6,3,0,93.31,0.0,54.56,49.03
29,Dar es Salaam,Rural,Secondary,Self-employed,1923327,7,10.13,1.77,0,1,Mud/Thatch,3,1,0,100.0,89.25,70.39,87.36
67,Mbeya,Rural,Secondary,Self-employed,2566825,9,36.8,2.66,1,0,Brick/Iron Sheet,4,5,1,100.0,95.75,100.0,98.51
52,Kilimanjaro,Rural,Secondary,Self-employed,1884292,8,17.46,1.27,0,1,Brick/Iron Sheet,16,2,0,98.14,93.56,100.0,97.1
50,Zanzibar,Rural,Secondary,Unemployed,2428389,6,0.62,13.48,0,0,Brick/Iron Sheet,3,2,1,100.0,65.13,97.6,87.07
50,Kilimanjaro,Urban,Secondary,Unemployed,1940277,6,4.72,3.35,1,0,Concrete/Modern,12,1,1,100.0,66.12,100.0,88.14
68,Mtwara,Rural,Primary,Unemployed,1008063,5,25.98,4.98,0,0,Brick/Iron Sheet,15,4,0,64.37,32.62,83.01,58.85
60,Kilimanjaro,Rural,Primary,Unemployed,406024,1,6.99,6.63,0,1,Mud/Thatch,15,2,0,64.39,26.63,69.7,52.77
54,Tanga,Rural,Primary,Private Sector,214003,9,10.85,2.32,0,1,Brick/Iron Sheet,1,1,0,85.3,30.09,73.63,62.47
29,Dodoma,Urban,No Education,Self-employed,1287968,9,24.37,6.37,0,0,Concrete/Modern,17,4,1,95.42,4.98,100.0,65.14
20,Mbeya,Urban,University,Self-employed,2246741,9,20.7,5.63,0,0,Mud/Thatch,0,1,0,100.0,100.0,53.69,86.11
18,Dar es Salaam,Urban,Secondary,Self-employed,350606,8,6.97,6.12,0,0,Brick/Iron Sheet,17,1,1,86.02,60.0,56.02,67.91
50,Dar es Salaam,Urban,University,Private Sector,831636,3,5.76,3.36,1,1,Brick/Iron Sheet,7,4,0,69.47,100.0,100.0,89.32
57,Mwanza,Rural,Primary,Government,660185,1,4.15,2.41,0,0,Mud/Thatch,10,4,0,82.76,32.48,89.0,67.03
27,Zanzibar,Rural,College,Private Sector,2386789,8,12.69,1.26,1,1,Brick/Iron Sheet,14,4,0,100.0,100.0,100.0,100.0
60,Arusha,Rural,College,Private Sector,786290,7,3.38,8.7,1,1,Mud/Thatch,15,1,0,100.0,90.38,66.65,86.63
61,Dodoma,Urban,Secondary,Self-employed,1861169,5,2.88,4.69,1,1,Concrete/Modern,16,2,1,100.0,72.33,100.0,90.31
46,Arusha,Urban,Secondary,Private Sector,1949388,7,4.4,2.94,0,1,Brick/Iron Sheet,16,3,0,100.0,80.21,100.0,93.07
